use_case,drone_type,battery_capacity_mAh,payload_weight_kg,weather_condition,estimated_flight_time_minutes
Survey,Large,28094,4.81,Rainy,10.0
Agriculture,Medium,53457,12.19,Windy,21.84
Agriculture,Large,38303,4.38,Windy,10.0
Survey,Small,57596,3.89,Rainy,39.59
Agriculture,Micro,50436,14.44,Rainy,30.31
Defense,Large,36860,11.7,Summer,10.0
Medical,Medium,17696,7.46,Stormy,10.0
Medical,Large,38254,18.81,Rainy,10.0
Medical,Micro,47631,17.91,Summer,29.07
Survey,Micro,37260,2.26,Windy,24.12
Survey,Micro,20642,14.09,Normal,10.0
Defense,Nano,27140,16.73,Normal,13.63
Disaster,Micro,24044,12.62,Windy,10.0
Disaster,Small,56077,7.9,Normal,44.76
Medical,Large,33954,8.79,Stormy,10.0
Disaster,Large,17312,12.59,Windy,10.0
Disaster,Micro,21997,16.16,Windy,10.0
Survey,Nano,32065,4.06,Summer,25.82
Defense,Nano,27142,7.59,Normal,20.95
Defense,Large,39794,3.97,Rainy,10.0
Survey,Micro,45258,7.66,Stormy,22.88
Disaster,Nano,51707,5.34,Summer,42.58
Medical,Large,50285,17.69,Stormy,10.0
Medical,Nano,32859,5.54,Stormy,16.98
Disaster,Large,19565,13.79,Rainy,10.0
Disaster,Nano,28986,7.95,Summer,20.25
Disaster,Large,16802,9.52,Windy,10.0
Medical,Micro,55135,13.7,Stormy,25.9
Agriculture,Medium,25044,14.03,Rainy,10.0
Defense,Large,15414,19.52,Summer,10.0
Defense,Micro,47678,1.75,Windy,31.69
Medical,Medium,44290,15.4,Windy,13.63
Agriculture,Medium,58536,15.67,Stormy,20.1
Agriculture,Small,31080,14.12,Summer,13.31
Survey,Medium,18114,12.31,Normal,10.0
Disaster,Small,26184,13.42,Rainy,10.0
Disaster,Small,17499,5.14,Stormy,10.0
Disaster,Large,43232,14.6,Stormy,10.0
Agriculture,Large,28495,10.13,Stormy,10.0
Survey,Micro,37606,10.74,Rainy,22.41
Survey,Nano,47101,17.57,Stormy,19.75
Agriculture,Micro,47669,17.4,Summer,29.47
Survey,Small,25279,7.43,Normal,14.34
Disaster,Nano,54548,10.93,Normal,45.68
Survey,Micro,57680,3.5,Normal,53.88
Disaster,Small,52951,12.61,Summer,34.08
Disaster,Large,41759,4.87,Stormy,10.0
Disaster,Nano,36381,18.68,Summer,19.18
Defense,Micro,44742,11.58,Rainy,27.58
Medical,Small,33630,15.7,Rainy,12.86
Medical,Small,49191,14.75,Rainy,25.91
Disaster,Large,40302,18.86,Windy,10.0
Medical,Nano,40862,15.71,Normal,28.17
Agriculture,Large,46791,16.47,Normal,10.0
Defense,Nano,19448,9.41,Windy,10.0
Defense,Nano,52834,6.92,Windy,33.02
Defense,Micro,27234,5.63,Rainy,17.38
Disaster,Medium,49439,17.06,Summer,20.96
Survey,Large,23786,1.23,Windy,10.0
Defense,Micro,58163,8.07,Normal,50.71
Defense,Medium,28745,2.7,Normal,14.09
Agriculture,Small,22249,11.5,Normal,10.0
Survey,Large,21968,11.47,Windy,10.0
Agriculture,Nano,49478,10.98,Summer,36.51
Defense,Large,43044,7.12,Rainy,10.0
Defense,Nano,16504,15.53,Windy,10.0
Disaster,Medium,33004,13.17,Windy,10.0
Medical,Large,15461,9.22,Windy,10.0
Disaster,Micro,25587,13.03,Stormy,10.0
Survey,Small,18131,9.61,Rainy,10.0
Disaster,Large,58526,5.53,Rainy,23.28
Defense,Medium,54631,4.41,Rainy,30.88
Disaster,Small,38943,15.92,Stormy,12.72
Disaster,Medium,16286,6.54,Rainy,10.0
Agriculture,Micro,59482,13.96,Stormy,28.39
Medical,Nano,30378,17.64,Rainy,12.91
Disaster,Medium,36592,1.96,Rainy,18.02
Medical,Micro,26375,6.87,Normal,19.88
Survey,Nano,52611,6.2,Rainy,38.02
Agriculture,Nano,49617,15.53,Normal,37.07
Defense,Large,42231,7.8,Stormy,10.0
Disaster,Nano,40735,3.3,Summer,34.17
Disaster,Large,31411,4.02,Rainy,10.0
Defense,Small,17569,1.58,Normal,11.3
Defense,Large,26643,5.34,Summer,10.0
Defense,Nano,26320,9.47,Windy,13.03
Defense,Small,46929,13.07,Normal,31.47
Medical,Nano,54311,17.71,Windy,28.01
Agriculture,Small,40132,17.87,Windy,14.59
Disaster,Nano,17100,8.99,Normal,10.0
Survey,Small,15448,7.15,Stormy,10.0
Medical,Small,48940,9.02,Stormy,22.03
Disaster,Small,22521,6.75,Normal,12.12
Disaster,Nano,21455,13.48,Normal,10.55
Disaster,Large,38299,12.15,Normal,10.0
Medical,Micro,37862,7.75,Stormy,18.4
Agriculture,Large,26337,6.8,Windy,10.0
Agriculture,Nano,42897,11.42,Windy,23.55
Medical,Micro,29440,8.94,Rainy,17.03
Defense,Nano,27786,3.71,Summer,22.22
Medical,Nano,20665,17.77,Normal,10.0
Defense,Micro,53276,5.37,Stormy,28.79
Medical,Medium,30877,19.73,Normal,10.0
Agriculture,Large,43622,13.1,Rainy,10.0
Defense,Micro,54031,18.87,Summer,34.14
Disaster,Medium,40598,17.51,Rainy,11.27
Agriculture,Micro,50088,8.47,Rainy,33.85
Agriculture,Micro,18719,11.38,Rainy,10.0
Medical,Large,56400,13.68,Stormy,12.27
Agriculture,Small,32582,10.88,Stormy,11.33
Medical,Large,28491,18.41,Rainy,10.0
Disaster,Micro,43458,17.02,Stormy,17.31
Disaster,Micro,47639,6.67,Summer,37.17
Survey,Large,36920,17.88,Summer,10.0
Agriculture,Large,31420,8.28,Rainy,10.0
Survey,Small,21006,18.93,Windy,10.0
Defense,Micro,57238,15.04,Windy,30.94
Disaster,Medium,42387,18.06,Stormy,10.0
Agriculture,Micro,15387,13.46,Stormy,10.0
Survey,Small,18300,4.71,Windy,10.0
Agriculture,Micro,48094,14.31,Stormy,21.39
Medical,Nano,44604,17.88,Windy,21.12
Defense,Micro,35754,10.62,Windy,18.38
Survey,Micro,33173,3.88,Stormy,17.44
Survey,Micro,31922,13.69,Windy,13.98
Defense,Small,30856,11.97,Windy,11.4
Disaster,Large,45074,7.96,Stormy,10.0
Defense,Nano,31167,12.89,Windy,14.51
Survey,Nano,35830,8.05,Normal,29.26
Agriculture,Medium,32195,3.13,Normal,17.19
Defense,Nano,41429,8.11,Windy,24.37
Survey,Nano,17965,18.8,Windy,10.0
Medical,Micro,18217,8.41,Stormy,10.0
Agriculture,Small,16548,7.77,Stormy,10.0
Defense,Micro,35517,8.45,Normal,27.76
Survey,Micro,56406,13.27,Rainy,35.83
Disaster,Large,35075,9.6,Stormy,10.0
Defense,Small,44417,16.4,Rainy,21.04
Agriculture,Micro,15575,9.56,Rainy,10.0
Defense,Micro,23374,15.17,Summer,10.0
Medical,Large,57415,10.85,Stormy,14.24
Disaster,Nano,21942,10.88,Summer,11.8
Defense,Small,49059,7.57,Normal,38.0
Agriculture,Nano,24510,17.8,Rainy,10.0
Survey,Small,35072,10.35,Rainy,17.43
Disaster,Medium,50683,1.59,Normal,36.91
Agriculture,Medium,59876,17.52,Windy,23.35
Survey,Large,53853,3.79,Rainy,20.66
Defense,Small,23410,19.74,Windy,10.0
Disaster,Nano,38812,14.28,Stormy,16.36
Agriculture,Large,49375,19.4,Windy,10.0
Disaster,Small,32821,19.41,Summer,11.06
Medical,Micro,56532,15.53,Stormy,25.86
Survey,Small,52485,6.64,Windy,29.52
Defense,Medium,56085,16.36,Rainy,24.4
Defense,Micro,21208,9.1,Normal,12.93
Defense,Small,19934,4.72,Windy,10.0
Disaster,Medium,55443,10.28,Summer,31.25
Medical,Small,41108,10.66,Summer,24.82
Agriculture,Large,59693,16.63,Summer,19.25
Agriculture,Large,17241,2.17,Windy,10.0
Medical,Nano,25887,2.0,Rainy,19.33
Agriculture,Small,36850,1.23,Normal,30.87
Disaster,Nano,51992,7.46,Rainy,36.72
Disaster,Small,57794,1.83,Stormy,30.8
Medical,Micro,36096,14.0,Normal,23.9
Disaster,Small,45956,14.22,Stormy,17.75
Disaster,Large,26789,11.69,Windy,10.0
Medical,Small,15471,8.16,Windy,10.0
Medical,Medium,28076,5.31,Summer,10.2
Disaster,Large,50218,11.29,Rainy,12.95
Agriculture,Nano,19993,11.55,Normal,10.63
Medical,Nano,36821,4.55,Windy,23.14
Medical,Medium,31441,4.54,Rainy,12.25
Disaster,Nano,44566,3.43,Rainy,33.36
Defense,Medium,33655,8.1,Windy,10.27
Medical,Medium,38433,4.82,Stormy,13.25
Medical,Small,18842,19.63,Summer,10.0
Survey,Medium,24916,17.83,Summer,10.0
Agriculture,Nano,38118,11.76,Windy,20.01
Disaster,Micro,39879,14.73,Windy,18.97
Defense,Micro,37831,9.92,Summer,26.01
Medical,Large,37810,3.62,Windy,10.0
Disaster,Small,22483,15.86,Summer,10.0
Disaster,Large,19232,12.14,Windy,10.0
Survey,Medium,17891,5.61,Windy,10.0
Medical,Medium,24745,6.76,Windy,10.0
Medical,Small,56004,14.66,Summer,35.35
Survey,Medium,35168,6.35,Normal,17.59
Medical,Micro,37625,18.04,Rainy,17.75
Defense,Small,46700,9.44,Windy,23.9
Medical,Small,30868,8.23,Stormy,11.57
Defense,Medium,38948,3.23,Windy,16.7
Disaster,Medium,46992,15.5,Stormy,13.26
Agriculture,Micro,46002,18.8,Summer,26.97
Agriculture,Large,41731,13.38,Rainy,10.0
Survey,Small,52021,19.1,Stormy,19.04
Agriculture,Nano,16139,3.85,Windy,10.0
Defense,Small,24342,13.84,Normal,10.0
Agriculture,Micro,56825,10.55,Summer,42.65
Disaster,Large,45757,13.54,Summer,10.0
Agriculture,Micro,49249,1.18,Rainy,37.84
Defense,Medium,49169,14.32,Stormy,15.13
Disaster,Nano,30469,10.92,Rainy,17.29
Agriculture,Small,54302,4.2,Stormy,27.57
Survey,Small,28136,5.27,Windy,13.24
Disaster,Nano,25100,15.61,Rainy,10.0
Medical,Small,44600,10.53,Summer,28.06
Survey,Large,43622,2.99,Stormy,10.0
Disaster,Micro,26861,3.54,Stormy,13.82
Disaster,Small,59685,12.97,Stormy,26.59
Disaster,Micro,57740,16.83,Rainy,34.62
Agriculture,Large,28786,13.8,Stormy,10.0
Disaster,Small,30665,12.87,Normal,15.37
Defense,Large,34781,9.69,Stormy,10.0
Survey,Large,28863,7.2,Rainy,10.0
Survey,Medium,32150,19.23,Summer,10.0
Survey,Medium,56619,14.2,Rainy,26.21
Medical,Medium,30439,5.95,Windy,10.0
Medical,Large,52539,6.05,Summer,20.43
Agriculture,Large,53105,7.99,Rainy,17.37
Agriculture,Large,18113,7.16,Summer,10.0
Agriculture,Large,32334,5.9,Normal,10.0
Agriculture,Small,33028,5.97,Summer,20.93
Survey,Micro,17112,6.13,Summer,10.09
Agriculture,Nano,28003,19.73,Normal,12.09
Survey,Medium,51364,2.53,Rainy,29.47
Medical,Nano,38186,10.29,Summer,26.85
Defense,Large,34389,1.4,Normal,10.0
Medical,Large,18217,19.27,Stormy,10.0
Medical,Small,50513,3.28,Windy,30.02
Medical,Large,54618,19.08,Windy,10.05
Defense,Large,51709,5.33,Normal,22.45
Medical,Large,28408,4.96,Stormy,10.0
Disaster,Medium,27319,19.39,Rainy,10.0
Medical,Medium,54934,16.8,Windy,20.3
Defense,Medium,27891,3.24,Summer,11.52
Defense,Medium,43784,17.94,Windy,11.85
Medical,Nano,25835,5.86,Stormy,12.61
Medical,Medium,34962,7.16,Rainy,13.39
Defense,Small,33213,19.61,Stormy,10.0
Survey,Medium,39358,13.48,Windy,11.25
Defense,Medium,32475,9.88,Windy,10.0
Agriculture,Medium,52559,18.55,Rainy,20.18
Survey,Micro,24131,18.59,Windy,10.0
Agriculture,Large,33296,2.16,Rainy,10.0
Agriculture,Large,45556,17.53,Summer,10.0
Medical,Micro,22153,7.02,Rainy,12.43
Agriculture,Micro,17044,10.74,Stormy,10.0
Agriculture,Medium,55636,9.06,Stormy,21.53
Agriculture,Large,54249,14.72,Stormy,10.48
Medical,Micro,35932,12.97,Summer,22.1
Defense,Medium,52383,19.63,Normal,24.18
Defense,Large,20451,11.27,Normal,10.0
Disaster,Small,57732,2.68,Windy,35.41
Agriculture,Large,25780,17.6,Windy,10.0
Defense,Medium,24842,11.23,Rainy,10.0
Survey,Small,25724,11.25,Windy,10.0
Defense,Large,54616,6.52,Normal,24.4
Medical,Medium,25454,10.09,Summer,10.0
Medical,Nano,15169,8.98,Windy,10.0
Survey,Small,21987,9.85,Windy,10.0
Agriculture,Nano,35986,8.05,Stormy,17.65
Defense,Nano,45866,6.2,Stormy,24.47
Disaster,Large,20517,14.9,Rainy,10.0
Defense,Large,27207,10.46,Summer,10.0
Medical,Medium,29470,19.63,Rainy,10.0
Survey,Small,52342,18.42,Rainy,26.08
Disaster,Large,53710,8.48,Stormy,13.16
Medical,Nano,19070,15.04,Normal,10.0
Agriculture,Nano,23101,7.22,Summer,15.48
Disaster,Small,30048,16.81,Stormy,10.0
Survey,Small,55787,6.56,Summer,40.99
Agriculture,Small,18199,8.36,Rainy,10.0
Disaster,Large,38928,14.06,Windy,10.0
Survey,Micro,52981,12.25,Normal,42.18
Defense,Large,49178,16.16,Summer,10.12
Defense,Large,28617,1.57,Normal,10.0
Defense,Medium,18688,9.99,Summer,10.0
Disaster,Nano,38745,18.26,Rainy,19.21
Disaster,Micro,35689,2.17,Rainy,26.36
Medical,Micro,40819,4.8,Windy,25.19
Defense,Nano,49209,19.67,Summer,30.01
Disaster,Small,32533,3.19,Summer,22.48
Defense,Nano,51902,15.55,Summer,35.4
Disaster,Large,36247,14.37,Windy,10.0
Agriculture,Medium,31979,18.58,Normal,10.0
Survey,Large,49012,1.36,Summer,20.63
Medical,Nano,47000,1.38,Normal,45.77
Defense,Nano,34024,19.41,Stormy,11.02
Medical,Large,20325,1.84,Stormy,10.0
Defense,Medium,42650,13.03,Windy,13.81
Disaster,Nano,26522,7.0,Stormy,12.48
Disaster,Micro,28095,3.42,Summer,21.92
Medical,Large,17756,8.94,Summer,10.0
Survey,Micro,15118,3.66,Windy,10.0
Defense,Large,52372,1.08,Rainy,21.21
Disaster,Nano,44414,9.93,Summer,32.71
Defense,Nano,33402,9.29,Stormy,15.51
Defense,Micro,38736,19.82,Windy,15.32
Medical,Nano,42838,5.77,Summer,34.29
Survey,Medium,27670,3.66,Normal,12.24
Defense,Nano,51171,8.78,Windy,30.82
Defense,Micro,60000,12.69,Windy,34.19
Agriculture,Medium,15647,8.71,Summer,10.0
Medical,Large,17998,17.43,Normal,10.0
Survey,Micro,56719,10.59,Summer,42.52
Medical,Nano,38834,17.63,Summer,22.14
Disaster,Large,46778,16.22,Rainy,10.0
Survey,Medium,20216,4.59,Stormy,10.0
Survey,Large,36556,17.93,Stormy,10.0
Disaster,Medium,36871,14.7,Normal,12.61
Disaster,Small,53045,12.86,Windy,26.43
Defense,Medium,34053,2.31,Windy,13.79
Survey,Nano,58050,3.9,Summer,49.32
Survey,Medium,34088,11.23,Rainy,10.08
Disaster,Small,58150,6.79,Stormy,28.63
Survey,Micro,45877,18.67,Rainy,23.95
Survey,Large,52014,9.7,Rainy,15.4
Disaster,Large,37523,19.61,Normal,10.0
Medical,Medium,38294,17.11,Windy,10.0
Medical,Small,21146,18.99,Normal,10.0
Survey,Small,19126,1.64,Rainy,10.25
Medical,Nano,30635,18.42,Summer,14.2
Disaster,Micro,23771,1.02,Rainy,17.56
Medical,Nano,34375,7.08,Windy,20.01
Disaster,Micro,48423,12.86,Normal,37.14
Agriculture,Large,48570,3.92,Stormy,12.26
Defense,Medium,54621,7.72,Normal,35.95
Agriculture,Small,48091,5.36,Stormy,23.28
Medical,Medium,29665,5.67,Windy,10.0
Disaster,Micro,24153,5.59,Rainy,14.94
Defense,Nano,36941,2.03,Rainy,28.15
Defense,Small,54065,9.36,Rainy,33.26
Medical,Large,46006,12.56,Stormy,10.0
Defense,Small,17255,2.74,Normal,10.06
Disaster,Nano,54846,10.48,Summer,41.7
Disaster,Micro,56337,8.71,Normal,48.37
Agriculture,Nano,52981,2.56,Rainy,40.65
Agriculture,Small,24397,6.69,Rainy,11.24
Survey,Micro,27529,1.61,Summer,22.72
Medical,Large,27801,2.87,Rainy,10.0
Disaster,Micro,43170,10.05,Stormy,20.48
Agriculture,Micro,46781,18.77,Windy,21.54
Disaster,Nano,33987,2.7,Windy,22.19
Agriculture,Large,38906,3.15,Windy,10.0
Survey,Large,41194,18.13,Normal,10.0
Disaster,Nano,30077,9.91,Rainy,17.62
Medical,Micro,27038,7.83,Stormy,11.86
Disaster,Medium,43464,18.99,Summer,14.19
Medical,Large,41788,18.86,Normal,10.0
Defense,Nano,29074,18.7,Windy,10.0
Agriculture,Nano,47566,7.48,Windy,29.02
Survey,Small,39619,2.53,Summer,29.34
Defense,Medium,44211,18.97,Normal,16.53
Defense,Large,39128,11.99,Summer,10.0
Agriculture,Small,42935,17.42,Rainy,19.2
Defense,Medium,59963,2.31,Normal,45.62
Medical,Medium,22924,5.13,Rainy,10.0
Medical,Medium,33486,9.05,Stormy,10.0
Defense,Large,50673,17.32,Normal,11.82
Disaster,Medium,24823,10.14,Rainy,10.0
Medical,Small,34554,10.54,Rainy,16.9
Agriculture,Small,45464,5.49,Normal,36.07
Medical,Micro,38927,10.07,Summer,26.88
Disaster,Small,35942,13.93,Normal,19.8
Agriculture,Micro,22972,10.56,Stormy,10.0
Medical,Small,49884,13.71,Stormy,20.35
Defense,Nano,25935,12.78,Stormy,10.0
Survey,Nano,22279,10.66,Normal,13.63
Medical,Micro,33985,12.62,Stormy,13.73
Defense,Small,53712,17.38,Normal,34.81
Agriculture,Large,34735,15.51,Stormy,10.0
Agriculture,Small,30398,19.18,Normal,10.05
Survey,Medium,15802,1.05,Stormy,10.0
Disaster,Small,16255,12.12,Windy,10.0
Medical,Medium,56370,13.4,Stormy,19.89
Defense,Nano,37675,18.46,Normal,22.78
Agriculture,Nano,15734,6.04,Rainy,10.0
Disaster,Nano,57246,12.0,Rainy,38.02
Medical,Nano,52210,3.01,Rainy,39.74
Survey,Large,17299,18.1,Normal,10.0
Defense,Medium,54270,14.7,Normal,30.01
Defense,Micro,47443,7.59,Rainy,32.3
Defense,Nano,16874,4.98,Summer,11.49
Defense,Micro,47192,9.81,Rainy,30.68
Survey,Medium,54664,12.21,Windy,22.68
Agriculture,Nano,59475,11.76,Rainy,39.95
Medical,Medium,55901,9.89,Summer,31.94
Survey,Medium,49840,5.85,Normal,32.66
Survey,Micro,38256,6.87,Normal,31.76
Disaster,Micro,22150,6.06,Normal,16.3
Survey,Small,26858,6.24,Rainy,13.49
Agriculture,Small,50900,7.46,Normal,39.93
Survey,Small,19139,15.22,Rainy,10.0
Defense,Medium,58267,8.37,Stormy,23.44
Medical,Small,49627,17.95,Normal,30.27
Defense,Small,36357,18.72,Stormy,10.0
Defense,Micro,47617,1.44,Summer,40.92
Disaster,Large,41119,2.58,Normal,14.05
Medical,Small,34818,9.96,Windy,15.29
Survey,Small,24251,19.59,Normal,10.0
Medical,Nano,39218,17.69,Rainy,19.95
Medical,Medium,19385,5.62,Windy,10.0
Agriculture,Medium,46003,12.39,Rainy,18.87
Survey,Nano,42379,14.87,Normal,30.36
Agriculture,Nano,23839,1.14,Normal,22.8
Disaster,Nano,40198,15.36,Normal,27.79
Disaster,Small,53289,19.64,Stormy,19.55
Agriculture,Large,43397,5.17,Summer,12.83
Agriculture,Nano,33510,18.78,Rainy,14.69
Agriculture,Large,50560,6.68,Summer,18.19
Defense,Micro,38278,1.84,Windy,25.06
